,Unnamed: 0,ACTIVITY_NR,REPORTING_ID,STATE_FLAG,ESTAB_NAME,SITE_ADDRESS,SITE_CITY,SITE_STATE,SITE_ZIP,OWNER_TYPE,OWNER_CODE,ADV_NOTICE,SAFETY_HLTH,SIC_CODE,NAICS_CODE,INSP_TYPE,INSP_SCOPE,WHY_NO_INSP,UNION_STATUS,SAFETY_MANUF,SAFETY_CONST,SAFETY_MARIT,HEALTH_MANUF,HEALTH_CONST,HEALTH_MARIT,MIGRANT,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,HOST_EST_KEY,NR_IN_ESTAB,OPEN_DATE,CASE_MOD_DATE,CLOSE_CONF_DATE,CLOSE_CASE_DATE,LOAD_DT,RNUM,YEAR,INSP_DESC
0,0,342934890,524500,,"SPRINGFIELD FARM & HOME SUPPLY, INC.",2804 N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,A,,N,S,,452990,B,B,I,B,,,,,,,,2804 N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,40,2018-02-08,03-DEC-23,08-FEB-18,25-FEB-19,04-DEC-23,1,2018,Complaint
1,1,342965498,524500,,"FRIENDLY CHEVROLET, INC.",2450 PRAIRIE CROSSING DRIVE,SPRINGFIELD,IL,62711,A,,N,S,,441110,C,B,I,B,,,,,,,,2450 PRAIRIE CROSSING DRIVE,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,90,2018-02-22,03-DEC-23,22-FEB-18,16-MAY-19,04-DEC-23,2,2018,Referral
2,2,342997244,524500,,"AMERICAN MULTI-CINEMA, INC.",3141 MERCANTILE DRIVE,SPRINGFIELD,IL,62704,A,,N,H,,512131,B,B,I,B,,,,,,,,3141 MERCANTILE DRIVE,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,24,2018-03-07,03-DEC-23,07-MAR-18,16-APR-18,04-DEC-23,3,2018,Complaint
3,3,343056065,524500,,"WEBER BUILDERS AND RENOVATORS, INC.",1308 S 2ND ST.,SPRINGFIELD,IL,62704,A,,N,S,,238130,B,B,I,B,,,,,,,,820 E SCARRITT,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,4,2018-03-30,03-DEC-23,30-MAR-18,23-DEC-19,04-DEC-23,4,2018,Complaint
4,4,343056156,524500,,HUGO ESTRADA,3000 SOUTH GRAND AVE.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,304 LEXINGTON AVENUE,CLUTE,TX,77531,HOST_EST_KEY_VALUE,4,2018-03-30,03-DEC-23,30-MAR-18,27-APR-22,04-DEC-23,5,2018,Complaint
5,5,343055018,524500,,"BLACKHAWK ROOFING, LLC",1244 E SANGAMON AVE.,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,B,I,B,,,,,,,,4208 SOUTHWOODS ROAD,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,6,2018-03-30,03-DEC-23,30-MAR-18,15-MAY-18,04-DEC-23,6,2018,Complaint
6,6,343099636,524500,,"SETH MOLEN CONSTRUCTION, INC.",1530 S 4TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,231 E CANEDY ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,5,2018-04-18,03-DEC-23,18-APR-18,31-AUG-18,04-DEC-23,7,2018,Complaint
7,7,343097499,524500,,"HILD BROTHERS CONSTRUCTION AND REMODELING, L.L.C.",2101 S 6TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,1906 700TH ST,MOUNT PULASKI,IL,62548,HOST_EST_KEY_VALUE,3,2018-04-18,03-DEC-23,18-APR-18,19-APR-18,04-DEC-23,8,2018,Complaint
8,8,343096996,524500,,BRANDON TEDRICK,2053 S 5TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,14416 PIONEER DRIVE,ATHENS,IL,62613,HOST_EST_KEY_VALUE,6,2018-04-18,03-DEC-23,18-APR-18,19-APR-18,04-DEC-23,9,2018,Complaint
9,9,343125514,524500,,"SMITH GENERAL CONTRACTING, INC.",2253 E KEYS,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,D,C,B,,,,,,,,3112 S. 12TH ST.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,2018-05-01,03-DEC-23,01-MAY-18,07-MAY-18,04-DEC-23,10,2018,Complaint
10,10,343136396,524500,,JAREN INDUSTRIES INCORPORATED,2905 ADLAI STEVENSON DR.,SPRINGFIELD,IL,62703,A,,N,H,,238910,B,B,I,B,,,,,,,,6868 PEC ROAD,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,4,2018-05-04,03-DEC-23,04-MAY-18,14-MAY-18,04-DEC-23,11,2018,Complaint
11,11,343214144,524500,,"UNITED IRONWORKERS, INC.",3441 GATLIN DR.,SPRINGFIELD,IL,62707,A,,N,S,,238120,B,B,I,A,,,,,,,,5656 STATE HWY ROUTE,STEELEVILLE,IL,62288,HOST_EST_KEY_VALUE,5,2018-06-07,03-DEC-23,07-JUN-18,02-JUL-18,04-DEC-23,12,2018,Complaint
12,12,343214516,524500,,"B & H ROOFING, LLC",CORNER OF WABASH AND HAMLIN ROAD,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,B,I,B,,,,,,,,6740 ILLINI DRIVE,VIRDEN,IL,62690,HOST_EST_KEY_VALUE,3,2018-06-08,03-DEC-23,08-JUN-18,08-JUN-18,04-DEC-23,13,2018,Complaint
13,13,343299707,524500,,"GRIFFITTS EXTERIOR HOME DESIGNS, INC.",1001 N 9TH STREET,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,B,I,B,,,,,,,,6636 N WESLEY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,6,2018-07-16,03-DEC-23,16-JUL-18,09-JUL-19,04-DEC-23,14,2018,Complaint
14,14,343299368,524500,,"GABE'S HOME IMPROVEMENT, L.L.C.",1001 N 9TH STREET,SPRINGFIELD,IL,62701,A,,N,S,,236118,B,B,I,B,,,,,,,,631 W MAPLE NORTH,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,6,2018-07-16,03-DEC-23,16-JUL-18,13-AUG-18,04-DEC-23,15,2018,Complaint
15,15,343308557,524500,,"ASSURED APPLICATORS CONSTRUCTION, LLC",3321 COLLINGWOOD,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,B,I,B,,,,,,,,141 W MAIN,DECATUR,IL,62523,HOST_EST_KEY_VALUE,5,2018-07-17,03-DEC-23,17-JUL-18,20-SEP-19,04-DEC-23,16,2018,Complaint
16,16,343308672,524500,,LANDERS CONSTRUCTION AND REMODELING INC.,2599 W WABASH AVE,SPRINGFIELD,IL,62704,A,,N,S,,238130,B,B,I,B,,,,,,,,2304 SYLVAN ROAD,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,4,2018-07-20,03-DEC-23,20-JUL-18,07-APR-23,04-DEC-23,17,2018,Complaint
17,17,343327730,524500,,UNKNOWN CONTRACTOR,3113 S SIXTH STREET,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,D,C,B,,,,,,,,3113 S SIXTH STREET,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,2018-07-25,03-DEC-23,25-JUL-18,25-JUL-18,04-DEC-23,18,2018,Complaint
18,18,343362034,524500,,"HOLTHAUS COMPANIES, INC.",2901 STEVENSON DR.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,D,C,B,,,,,,,,875 E. LINN ST.,CANTON,IL,61520,HOST_EST_KEY_VALUE,4,2018-08-03,03-DEC-23,,10-AUG-18,04-DEC-23,19,2018,Complaint
19,19,343363099,524500,,"NORTH AMERICAN MIDWAY ENTERTAINMENT-ASTRO AMUSEMENT, LLC",801 SANGAMON AVE,SPRINGFIELD,IL,62702,A,,N,S,,713990,B,B,I,B,,,,,,,,"2500 W. HIGGINS, SUITE 205",HOFFMAN ESTATES,IL,60169,HOST_EST_KEY_VALUE,40,2018-08-06,03-DEC-23,06-AUG-18,21-DEC-18,04-DEC-23,20,2018,Complaint
20,20,343361838,524500,,KREILING ROOFING CO.,1700 E. SANGAMON AVENUE,SPRINGFIELD,IL,62702,A,,N,S,,238160,H,B,I,A,,,,,,,,2335 W ALTORFER DR,PEORIA,IL,61615,HOST_EST_KEY_VALUE,6,2018-08-06,03-DEC-23,06-AUG-18,29-JUL-19,04-DEC-23,21,2018,Planned
21,21,343393617,524500,,NEW TECH ROOFING,4200 CONESTOGA DRIVE,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,D,C,B,,,,,,,,4200 CONESTOGA DRIVE,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,0,2018-08-16,03-DEC-23,16-AUG-18,16-AUG-18,04-DEC-23,22,2018,Complaint
22,22,343415071,524500,,UNKNOWN,2901 STEVENSON DR.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,D,C,B,,,,,,,,CORNER OF ADLOFF AND STEVENSON DRIVE (CIRCLE K GAS STATION),SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,1,2018-08-23,03-DEC-23,,24-AUG-18,04-DEC-23,23,2018,Complaint
23,23,343482709,551702,,IL DEPT. OF CENTRAL MANAGEMENT SERVICES,2200 CHURCHILL,SPRINGFIELD,IL,62702,C,,N,S,,921190,B,B,I,A,,,,,,,,715 STRATTON OFFICE,SPRINGFIELD,IL,62706,HOST_EST_KEY_VALUE,268,2018-08-28,03-DEC-23,28-AUG-18,31-JAN-20,04-DEC-23,24,2018,Complaint
24,24,343423224,551702,,IL DEPT. OF CHILDREN & FAMILY SERVICES - CHURCHILL,2200 N CHURCHILL,SPRINGFIELD,IL,62702,C,,N,S,,921190,B,B,I,A,,,,,,,,406 E MONROE ATTN:  MS. BEVERLY J. WALKER - ACTING DIRECTOR,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,120,2018-08-28,03-DEC-23,28-AUG-18,24-OCT-18,04-DEC-23,25,2018,Complaint
25,25,343430302,551701,,IL SECRETARY OF STATE - PHYSICAL SERVICES DEPT.,401 SOUTH SPRING ST. STRATTON BUILDING,SPRINGFIELD,IL,62756,C,,N,H,,811310,B,B,I,A,,,,,,,,213 STATE CAPITOL ATTN: SECRETARY OF STATE  JESSE WHITE,SPRINGFIELD,IL,62756,HOST_EST_KEY_VALUE,41,2018-08-30,03-DEC-23,30-AUG-18,28-FEB-19,04-DEC-23,26,2018,Complaint
26,26,343446829,524500,,UNITED STATES POSTAL SERVICE,2105 E. COOK STREET,SPRINGFIELD,IL,62703,A,,N,S,,491110,B,B,I,A,,,,,,,,2105 E. COOK STREET,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,187,2018-09-04,03-DEC-23,04-SEP-18,04-MAR-19,04-DEC-23,27,2018,Complaint
27,27,343465365,524500,,"CITY WATER, LIGHTS AND POWER",3062 ADLAI STEVENSON DR.,SPRINGFIELD,IL,62703,B,,N,S,,237110,B,D,I,B,,,,,,,,"4TH FLOOR, MUNICIPLE CENTER EAST 800 E. MONROE ST.",SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,0,2018-09-13,03-DEC-23,13-SEP-18,24-OCT-18,04-DEC-23,28,2018,Complaint
28,28,343460580,524500,,"CONTECH ENGINEERED SOLUTIONS, LLC",1110 STEVENSON DRIVE,SPRINGFIELD,IL,62703,A,,N,S,,326122,C,B,I,B,,,,,,,,1110 STEVENSON DRIVE,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,39,2018-09-13,03-DEC-23,07-DEC-18,22-JAN-19,04-DEC-23,29,2018,Referral
29,29,343489027,524500,,STEPHEN COY CONSTRUCTION INCORPORATED,2000 WILDERNESS TRAIL,SPRINGFIELD,IL,62711,A,,N,S,,238160,H,B,I,B,,,,,,,,807 HAWLEY ST,TAYLORVILLE,IL,62568,HOST_EST_KEY_VALUE,5,2018-09-18,03-DEC-23,18-SEP-18,01-APR-19,04-DEC-23,30,2018,Planned
30,30,343472478,524500,,CAROL JO VECCHI WOMEN/CHILDREN MEDICAL BLDG,415 N 9TH ST.,SPRINGFIELD,IL,62702,A,,N,S,,238910,H,D,C,B,,,,,,,,415 N 9TH ST.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,0,2018-09-18,03-DEC-23,18-SEP-18,19-SEP-18,04-DEC-23,31,2018,Planned
31,31,343486478,524500,,"FINGER LAKES ROOFING CO, INC.",1024 E JEFFERSON STREET,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,7642 MAIN STREET,FISHERS,NY,14453,HOST_EST_KEY_VALUE,6,2018-09-25,03-DEC-23,25-SEP-18,25-SEP-18,04-DEC-23,32,2018,Complaint
32,32,343509626,524500,,"MICHEL CONCRETE CONSTRUCTION, INC.",3101 GREAT NORTHERN RD.,SPRINGFIELD,IL,62711,A,,N,S,,238110,C,B,I,B,,,,,,,,3101 GREAT NORTHERN RD.,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,4,2018-10-02,03-DEC-23,02-OCT-18,06-FEB-19,04-DEC-23,33,2018,Referral
33,33,343520565,524500,,JOLLY ROOFING & CONTRACTING COMPANY INC.,2760 N. DIRKSEN PARKWAY,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,D,C,B,,,,,,,,711 CHANEY COVE,COLLIERVILLE,TN,38017,HOST_EST_KEY_VALUE,0,2018-10-09,03-DEC-23,09-OCT-18,10-OCT-18,04-DEC-23,34,2018,Complaint
34,34,343577128,524500,,"NUDO PRODUCTS, INC.",1500 TAYLOR AVE,SPRINGFIELD,IL,62703,A,,N,S,,444190,C,B,I,B,,,,,,,,1500 TAYLOR AVE,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,167,2018-10-30,03-DEC-23,30-OCT-18,07-FEB-19,04-DEC-23,35,2018,Referral
35,35,343575676,524500,,ACE SIGN CO.,2540 SOUTH FIRST STREET,SPRINGFIELD,IL,62704,A,,N,S,,339950,B,B,I,A,,,,,,,,2540 SOUTH FIRST STREET,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,49,2018-11-01,03-DEC-23,01-NOV-18,13-NOV-18,04-DEC-23,36,2018,Complaint
36,36,343602512,524500,,"KINNEY CONTRACTORS, INC.",3401 HEDLEY RD.,SPRINGFIELD,IL,62711,A,,N,S,,238130,B,B,I,A,,,,,,,,19342 E FRONTAGE RD.,RAYMOND,IL,62560,HOST_EST_KEY_VALUE,7,2018-11-14,03-DEC-23,14-NOV-18,05-JUN-19,04-DEC-23,37,2018,Complaint
37,37,343602249,524500,,"MINOR CONSTRUCTION OF PETERSBURG, INC.",3401 HEDLEY RD.,SPRINGFIELD,IL,62711,A,,N,S,,238130,G,B,I,A,,,,,,,,17559 SHADY LN.,PETERSBURG,IL,62675,HOST_EST_KEY_VALUE,5,2018-11-14,03-DEC-23,14-NOV-18,03-NOV-22,04-DEC-23,38,2018,Unprogrammed Related
38,38,343681227,524500,,UNKNOWN CONTRACTOR,3404 S. 2ND STREET,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,D,C,B,,,,,,,,3404 S. 2ND STREET,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,1,2018-12-26,03-DEC-23,,26-DEC-18,04-DEC-23,39,2018,Complaint
39,39,343722666,524500,,"CAST INDUSTRIES, INC.",580 NORTH ST.,SPRINGFIELD,IL,62704,A,,N,H,,339920,B,B,I,B,,,,,,,,580 NORTH ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,75,2019-01-17,03-DEC-23,17-JAN-19,04-JUN-19,04-DEC-23,40,2019,Complaint
40,40,343736252,524500,,ST. JOHN'S HOSPITAL SISTERS OF THE THIRD ORDER OF ST. FRANCIS,701 E MASON ST,SPRINGFIELD,IL,62769,A,,N,S,,622110,H,D,I,B,,,,,,,,701 E MASON ST,SPRINGFIELD,IL,62769,HOST_EST_KEY_VALUE,0,2019-01-24,03-DEC-23,24-JAN-19,24-JAN-19,04-DEC-23,41,2019,Planned
41,41,343762167,524500,,"ED RUTHERFORD ROOFING, INC.",CORNER OF 11TH AND STEVENSON,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,B,I,B,,,,,,,,52439 HIGHWAY A,NEW LONDON,MO,63459,HOST_EST_KEY_VALUE,3,2019-02-05,03-DEC-23,05-FEB-19,30-SEP-20,04-DEC-23,42,2019,Complaint
42,42,343772703,524500,,PREMIUM PALLETS,2877 N DIRKSEN PARKWAY,SPRINGFIELD,IL,62702,A,,N,S,,321920,H,D,A,B,,,,,,,,2877 N DIRKSEN PARKWAY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,0,2019-02-08,03-DEC-23,08-FEB-19,01-MAR-19,04-DEC-23,43,2019,Planned
43,43,343772737,524500,,KENT FAMILY INC.,"1333 WABASH AVE, STE A",SPRINGFIELD,IL,62704,A,,N,S,,445110,H,D,B,B,,,,,,,,"1333 WABASH AVE, STE A",SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,0,2019-02-08,03-DEC-23,08-FEB-19,21-FEB-19,04-DEC-23,44,2019,Planned
44,44,343772687,524500,,PALLETS SHOP,5312 DEERWOOD LK,SPRINGFIELD,IL,62703,A,,N,S,,321920,H,D,C,B,,,,,,,,5312 DEERWOOD LK,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,2019-02-08,03-DEC-23,08-FEB-19,01-MAR-19,04-DEC-23,45,2019,Planned
45,45,343794889,551702,,CITY OF SPRINGFIELD - CWLP,2215 OLD JACKSONVILLE RD,SPRINGFIELD,IL,62701,B,,N,S,,221121,M,B,I,A,,,,,,,,800 E MONROE ATTN:  MR. JAMES O. LANGFELDER - MAYOR,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,102,2019-02-14,03-DEC-23,14-FEB-19,12-JUN-19,04-DEC-23,46,2019,M
46,46,343811253,524500,,BRANDON TEDRICK,CORNER OF E. SANGAMON AND 17TH STREET,SPRINGFIELD,IL,62701,A,,N,S,,238160,H,B,I,B,,,,,,,,2110 N. REPUBLIC,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,6,2019-02-27,03-DEC-23,27-FEB-19,,04-DEC-23,47,2019,Planned
47,47,343811675,524500,,SMITH CONSTRUCTION,BETWEEN 2150 AND 2300 SANGAMON AVE.,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,D,C,B,,,,,,,,1320 W. COMMERCE DR.,PEORIA,IL,61604,HOST_EST_KEY_VALUE,0,2019-02-27,03-DEC-23,27-FEB-19,27-FEB-19,04-DEC-23,48,2019,Complaint
48,48,343853024,524500,,WORLD OF POWERSPORTS INC.,3230 ATLANTA ST,SPRINGFIELD,IL,62707,A,,N,H,,441228,B,B,I,B,,,,,,,,3230 ATLANTA ST,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,16,2019-03-12,03-DEC-23,12-MAR-19,01-APR-20,04-DEC-23,49,2019,Complaint
49,49,343846218,524500,,"SKYLINE ROOFING AND SHEET METAL COMPANY, INCORPORATED",2560 WABASH AVENUE,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,B,I,B,,,,,,,,3060 W. MINNESOTA ST.,INDIANAPOLIS,IN,46241,HOST_EST_KEY_VALUE,6,2019-03-12,03-DEC-23,12-MAR-19,13-JUL-22,04-DEC-23,50,2019,Complaint
50,50,343846382,524500,,UNKNOWN CONTRACTOR,S. GRAND & DIRKSEN PKWY,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,D,C,B,,,,,,,,S. GRAND & DIRKSEN PKWY,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,0,2019-03-12,03-DEC-23,12-MAR-19,03-APR-19,04-DEC-23,51,2019,Complaint
51,51,343856498,551702,,IL DEPT. OF TRANSPORTATION - DIV. OF HIGHWAYS,702 N. LINCOLN AVE,SPRINGFIELD,IL,62702,C,,Y,S,,237310,M,B,I,A,,,,,,,,2300 S. DIRKSEN PARKWAY ATTN: OMER OSMAN - ACTING SECRETARY,SPRINGFIELD,IL,62764,HOST_EST_KEY_VALUE,27,2019-03-15,03-DEC-23,15-MAR-19,10-FEB-20,04-DEC-23,52,2019,M
52,52,343873378,524500,,"HEARTLAND HEATING AND COOLING, INC.",625 E ST. JOSEPH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238220,B,B,I,B,,,,,,,,810 S DIRKSEN PKWY.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,4,2019-03-22,03-DEC-23,22-MAR-19,03-APR-20,04-DEC-23,53,2019,Complaint
53,53,343889028,524500,,"CENTRAL ILLINOIS STAFFING SERVICES, LLC","CAST INDUSTRIES, INC. 580 W NORTH ST",SPRINGFIELD,IL,62704,A,,N,H,,561320,I,B,I,B,,,,,,,,2719 A W MONROE,SPRINGFIELD,IL,62705,HOST_EST_KEY_VALUE,11,2019-03-27,03-DEC-23,27-MAR-19,18-APR-19,04-DEC-23,54,2019,Programmed Related
54,54,343889341,524500,,"INNOVATIVE STAFF SOLUTIONS, INC.","CAST INDUSTRIES, INC. 580 NORTH ST.",SPRINGFIELD,IL,62704,A,,N,H,,561311,I,B,I,B,,,,,,,,1425 ADLAI STEVENSON DR,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,11,2019-03-27,03-DEC-23,27-MAR-19,30-MAY-19,04-DEC-23,55,2019,Programmed Related
55,55,343904637,524500,,UNKNOWN CONTRACTOR,2136 N 8TH ST.,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,D,C,B,,,,,,,,2136 N 8TH ST.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,0,2019-04-02,03-DEC-23,02-APR-19,01-MAY-19,04-DEC-23,56,2019,Complaint
56,56,343904652,524500,,"DOUBLE D EXPRESS, INC.",3650 N DIRKSEN PARKWAY,SPRINGFIELD,IL,62707,A,,N,S,,484110,B,B,I,B,,,,,,,,2930 MAY ROAD,PERU,IL,61354,HOST_EST_KEY_VALUE,15,2019-04-02,03-DEC-23,02-APR-19,16-JUL-19,04-DEC-23,57,2019,Complaint
57,57,343912341,524500,,UNKNOWN CONTRACTOR,522 W JEFFERSON ST NEXT TO MCDONALD'S,SPRINGFIELD,IL,62702,A,,N,S,,238130,B,D,C,B,,,,,,,,522 W JEFFERSON ST NEXT TO MCDONALD'S,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,1,2019-04-05,03-DEC-23,,08-APR-19,04-DEC-23,58,2019,Complaint
58,58,343922274,524500,,WESLEY HULVEY,3253 MATHERS RD.,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,B,I,B,,,,,,,,1130 N FRANKLIN AVE.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,3,2019-04-09,03-DEC-23,09-APR-19,07-APR-23,04-DEC-23,59,2019,Complaint
59,59,343926192,524500,,LUIS SANCHEZ,701 W MASON ST,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,B,I,B,,,,,,,,1802 N GREEN LN APT 3A,PALATINE,IL,60074,HOST_EST_KEY_VALUE,7,2019-04-10,03-DEC-23,10-APR-19,08-NOV-22,04-DEC-23,60,2019,Complaint
60,60,343922944,524500,,"BLACKHAWK ROOFING, LLC",3624 FIELDING DR.,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,B,I,B,,,,,,,,4208 SOUTHWOODS ROAD,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,5,2019-04-10,03-DEC-23,10-APR-19,15-APR-19,04-DEC-23,61,2019,Complaint
